customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn,predicted_churn
15634602,619,France,Female,42,2,0,1,1,1,101348.88,1,0.125411767197143
15647311,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,0.156011255962336
15619304,502,France,Female,42,8,159660.8,3,1,0,113931.57,1,0.341374014911518
15701354,699,France,Female,39,1,0,2,0,0,93826.63,0,0.231680999645679
15737888,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,0.154987118003725
15574012,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,0.251524344976721
15592531,822,France,Male,50,7,0,2,1,1,10062.8,0,0.0963345180302442
15656148,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,0.287915783611931
15792365,501,France,Male,44,4,142051.07,2,0,1,74940.5,0,0.117661449690891
15592389,684,France,Male,27,2,134603.88,1,1,1,71725.73,0,0.0371865601593353
15767821,528,France,Male,31,6,102016.72,2,0,0,80181.12,0,0.115994601232248
15737173,497,Spain,Male,24,3,0,2,1,0,76390.01,0,0.060429571523118
15632264,476,France,Female,34,10,0,2,1,0,26260.98,0,0.165438500315021
15691483,549,France,Female,25,5,0,2,0,0,190857.79,0,0.10608248420909
15600882,635,Spain,Female,35,7,0,2,1,1,65951.65,0,0.068089645477233
15643966,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,0.233032528273896
15737452,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,0.692467309159504
15788218,549,Spain,Female,24,9,0,2,1,1,14406.41,0,0.0303153440303503
15661507,587,Spain,Male,45,6,0,1,0,0,158684.81,0,0.246371754259419
15568982,726,France,Female,24,6,0,2,1,1,54724.03,0,0.0295079046528981
15577657,732,France,Male,41,8,0,2,1,1,170886.17,0,0.0591204816117762
15597945,636,Spain,Female,32,8,0,2,1,0,138555.46,0,0.149351494822552
15699309,510,Spain,Female,38,4,0,1,1,0,118913.53,1,0.251571537889577
15725737,669,France,Male,46,3,0,2,0,1,8487.75,0,0.0867778444407551
15625047,846,France,Female,38,5,0,1,1,1,187616.16,0,0.0840959366995146
15738191,577,France,Male,25,3,0,2,0,1,124508.29,0,0.0226106604367326
15736816,756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,0.13503984286581
15700772,571,France,Male,44,9,0,2,0,0,38433.35,0,0.192597199294983
15728693,574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0,0.32426496455264
15656300,411,France,Male,29,0,59697.17,2,1,1,53483.21,0,0.0384752062056391
15589475,591,Spain,Female,39,3,0,3,1,0,140469.38,1,0.228164507192419
15706552,533,France,Male,36,7,85311.7,1,0,1,156731.91,0,0.0658876506612363
15750181,553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0,0.361942568178654
15659428,520,Spain,Female,42,6,0,2,1,1,34410.55,0,0.114516633340763
15732963,722,Spain,Female,29,9,0,2,1,1,142033.07,0,0.0414662618472613
15794171,475,France,Female,45,0,134264.04,1,1,0,27822.99,1,0.439082914727214
15788448,490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0,0.0588586214495701
15729599,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0,0.044250438589671
15717426,850,France,Male,36,7,0,1,1,1,40812.9,0,0.0394674013596427
15585768,582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0,0.164035112875804
15619360,472,Spain,Male,40,4,0,1,1,0,70154.22,0,0.189916152381641
15738148,465,France,Female,51,8,122522.32,1,0,0,181297.65,1,0.543376160911575
15687946,556,France,Female,61,2,117419.35,1,1,1,94153.83,0,0.443465052256187
15755196,834,France,Female,49,2,131394.56,1,0,0,194365.76,1,0.476005098546574
15684171,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0,0.45613983390168
15754849,776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0,0.134222356004538
15602280,829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1,0.0999152047766739
15771573,637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1,0.235912307584892
15766205,550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0,0.159383773075292
15771873,776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0,0.406252841668133
15616550,698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0,0.401519194261904
15768193,585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0,0.310922269802654
15683553,788,France,Female,33,5,0,2,0,0,116978.19,0,0.148980307678043
15702298,655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1,0.395432218212542
15569590,601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1,0.414379742888909
15760861,619,France,Male,43,1,125211.92,1,1,1,113410.49,0,0.11107667799578
15630053,656,France,Male,45,5,127864.4,1,1,0,87107.57,0,0.285179053149898
15647091,725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0,0.107499403062134
15623944,511,Spain,Female,66,4,0,1,1,0,1643.11,1,0.712629813068719
15804771,614,France,Male,51,4,40685.92,1,1,1,46775.28,0,0.140765911548152
15651280,742,Germany,Male,35,5,136857,1,0,0,84509.57,0,0.296034238134833
15773469,687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0,0.265155988852924
15702014,555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0,0.136584967645823
15751208,684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0,0.200800567308416
15592461,603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0,0.0700003402574706
15789484,751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0,0.184412416823994
15696061,581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0,0.406915384327309
15641582,735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0,0.173446961209461
15638424,661,Germany,Female,35,5,150725.53,2,0,1,113656.85,0,0.196754043007849
15755648,675,France,Female,21,8,98373.26,1,1,0,18203,0,0.0878212808183519
15703793,738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1,0.612624397953135
15620344,813,France,Male,29,6,0,1,1,0,33953.87,0,0.0715808761502303
15812518,657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0,0.134424791436064
15779052,604,Germany,Female,25,5,157780.84,2,1,1,58426.81,0,0.10094267999392
15770811,519,France,Male,36,9,0,2,0,1,145562.4,0,0.0464270810872251
15780961,735,France,Female,21,1,178718.19,2,1,0,22388,0,0.103127377565642
15614049,664,France,Male,55,8,0,2,1,1,139161.64,0,0.150742938474391
15662085,678,France,Female,32,9,0,1,1,1,148210.64,0,0.0570401563547536
15575185,757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0,0.0511551487396032
15803136,416,Germany,Female,41,10,122189.66,2,1,0,98301.61,0,0.504222099786324
15706021,665,France,Female,34,1,96645.54,2,0,0,171413.66,0,0.222845669293099
15663706,777,France,Female,32,2,0,1,1,0,136458.19,1,0.15581740259532
15641732,543,France,Female,36,3,0,2,0,0,26019.59,0,0.203860189850229
15701164,506,France,Female,34,4,90307.62,1,1,1,159235.29,0,0.0968677044401837
15738751,493,France,Female,46,4,0,2,1,0,1907.66,0,0.331662286200692
15805254,652,Spain,Female,75,10,0,2,1,1,114675.75,0,0.550581734983432
15762418,750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1,0.0679966125674965
15625759,729,France,Male,30,9,0,2,1,0,151869.35,0,0.0739528731622509
15622897,646,France,Female,46,4,0,3,1,0,93251.42,1,0.303830615774769
15767954,635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0,0.108424769657462
15757535,647,Spain,Female,44,5,0,3,1,1,174205.22,1,0.116316065302085
15731511,808,France,Male,45,7,118626.55,2,1,0,147132.46,0,0.235894405869035
15809248,524,France,Female,36,10,0,2,1,0,109614.57,0,0.180805140360658
15640635,769,France,Male,29,8,0,2,1,1,172290.61,0,0.024592490538093
15676966,730,Spain,Male,42,4,0,2,0,1,85982.47,0,0.0681387889872343
15699461,515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0,0.0757618634485953
15738721,773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0,0.0792970611305505
15693683,814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0,0.0640360127574945
15604348,710,Spain,Male,22,8,0,2,0,0,99645.04,0,0.0465510807008017
15633059,413,France,Male,34,9,0,2,0,0,6534.18,0,0.113764042283106
15808582,665,France,Female,40,6,0,1,1,1,161848.03,0,0.099870650435968
15743192,623,France,Female,44,6,0,2,0,0,167162.43,0,0.301516160535417
15580146,738,France,Male,31,9,82674.15,1,1,0,41970.72,0,0.101253840635271
15776605,528,Spain,Male,36,7,0,2,1,0,60536.56,0,0.121954031125743
15804919,670,Spain,Female,65,1,0,1,1,1,177655.68,1,0.435332795963389
15613854,622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1,0.182650537767267
15599195,582,Germany,Male,32,1,88938.62,1,1,1,10054.53,0,0.101245407515892
15812878,785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0,0.184784434049128
15602312,605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0,0.16541751344904
15744689,479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1,0.282145281676992
15803526,685,Germany,Male,30,3,90536.81,1,0,1,63082.88,0,0.0825905818477797
15665790,538,Germany,Male,39,7,108055.1,2,1,0,27231.26,0,0.326121138483699
15715951,562,France,Male,42,2,100238.35,1,0,0,86797.41,0,0.254237723360922
15591100,675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0,0.061641123740145
15609618,721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1,0.0733201245876483
15675522,628,Germany,Female,30,9,132351.29,2,1,1,74169.13,0,0.126166432888978
15705512,668,Germany,Female,37,6,167864.4,1,1,0,115638.29,0,0.469450857221406
15698028,506,France,Female,41,1,0,2,1,0,31766.3,0,0.268998356429245
15661670,524,Germany,Female,31,8,107818.63,1,1,0,199725.39,1,0.354253064491264
